TIME,RPM,WSS
28644168,0,7349
28703904,0,7406
28762008,0,7391
28821984,0,7450
28881632,0,7422
28940988,0,7421
28999060,0,7478
29058964,0,7565
29119736,0,7545
29179696,0,7583
29240348,0,7584
29302284,0,7614
29362556,0,7684
